Building model ... 
AlexNet(
  (features): DataParallel(
    (module): Sequential(
      (0): Conv2d(3, 64, kernel_size=(11, 11), stride=(4, 4), padding=(2, 2))
      (1): ReLU(inplace)
      (2): MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)
      (3): Conv2d(64, 192, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
      (4): ReLU(inplace)
      (5): MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)
      (6): Conv2d(192, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (7): ReLU(inplace)
      (8): Conv2d(384, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (9): ReLU(inplace)
      (10): Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (11): ReLU(inplace)
      (12): MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)
    )
  )
  (classifier): Sequential(
    (0): Dropout(p=0.5)
    (1): Linear(in_features=9216, out_features=4096, bias=True)
    (2): ReLU(inplace)
    (3): Dropout(p=0.5)
    (4): Linear(in_features=4096, out_features=4096, bias=True)
    (5): ReLU(inplace)
    (6): Linear(in_features=4096, out_features=10, bias=True)
  )
)
Model rgb_alexnet is loaded. 
Saving everything to directory ./checkpoints.
['ballet', 'break', 'flamenco', 'foxtrot', 'latin', 'quickstep', 'square', 'swing', 'tango', 'waltz']
['ballet', 'break', 'flamenco', 'foxtrot', 'latin', 'quickstep', 'square', 'swing', 'tango', 'waltz']
265470 samples found, 235710 train samples and 29760 test samples.
Epoch: [0][0/7366]	Time 1.008 (1.008)	Data 0.737 (0.737)	Loss 2.6075 (2.6075)	Prec@1 12.500 (12.500)	Prec@3 21.875 (21.875)
Epoch: [0][20/7366]	Time 0.685 (0.727)	Data 0.674 (0.703)	Loss 1.8552 (1.9838)	Prec@1 37.500 (29.018)	Prec@3 65.625 (59.375)
Epoch: [0][40/7366]	Time 0.610 (0.715)	Data 0.598 (0.697)	Loss 1.5993 (1.7333)	Prec@1 37.500 (38.262)	Prec@3 78.125 (69.436)
Epoch: [0][60/7366]	Time 0.765 (0.711)	Data 0.753 (0.695)	Loss 1.0749 (1.5944)	Prec@1 71.875 (42.777)	Prec@3 93.750 (73.361)
Epoch: [0][80/7366]	Time 0.731 (0.716)	Data 0.719 (0.700)	Loss 1.2416 (1.5021)	Prec@1 46.875 (45.216)	Prec@3 90.625 (76.505)
Epoch: [0][100/7366]	Time 0.795 (0.722)	Data 0.782 (0.707)	Loss 1.0775 (1.4466)	Prec@1 56.250 (46.627)	Prec@3 90.625 (78.527)
Epoch: [0][120/7366]	Time 0.688 (0.728)	Data 0.675 (0.714)	Loss 1.0603 (1.3967)	Prec@1 53.125 (47.934)	Prec@3 90.625 (80.036)
Epoch: [0][140/7366]	Time 0.744 (0.730)	Data 0.732 (0.716)	Loss 1.2400 (1.3705)	Prec@1 53.125 (48.803)	Prec@3 90.625 (80.829)
Epoch: [0][160/7366]	Time 0.685 (0.731)	Data 0.673 (0.717)	Loss 1.0221 (1.3382)	Prec@1 59.375 (49.689)	Prec@3 93.750 (81.929)
Epoch: [0][180/7366]	Time 0.676 (0.731)	Data 0.664 (0.718)	Loss 0.8723 (1.3032)	Prec@1 62.500 (50.691)	Prec@3 87.500 (82.821)
Epoch: [0][200/7366]	Time 0.690 (0.732)	Data 0.678 (0.718)	Loss 1.0290 (1.2712)	Prec@1 62.500 (51.508)	Prec@3 90.625 (83.691)
